0,0,10226,20448,-1,-1,-1,-1,-1,-1
1,1.52643,3505,7006,-1,-1,-1,-1,-1,-1
2,0.650911,6382,32877,-1,-1,-1,-1,-1,-1
3,0.51987,6382,32877,-1,-1,-1,-1,-1,-1
4,0.068778,7379,34757,-1,-1,-1,-1,-1,-1
5,0.331318,10101,49169,-1,-1,-1,-1,-1,-1
6,0.02264,10101,49169,7.30005e-08,0.520472,3.14159,2.11649,163031,251.63
8,0.78926,5337,27472,7.59813e-08,0.660955,3.14159,1.91488,163031,40.2729
7,0.08698,17050,87696,7.59813e-08,0.656067,3.14159,1.93429,163031,16.0912
8,0.582685,7417,38827,7.59813e-08,0.682531,3.14159,1.88917,163031,29.4206
9,0.262231,7417,38511,0.00227572,0.699718,3.13694,1.85059,156.842,4.832
10,0.49962,7417,38511,0.00227572,0.735346,3.13694,1.84583,156.842,4.35257
7,0.050807,11726,57407,0.00227572,0.735597,3.13694,1.85216,156.842,4.31893
8,0.446378,7968,41187,0.00227572,0.74496,3.13694,1.8381,156.842,4.28053
9,0.247575,7968,41279,0.00227572,0.747673,3.13694,1.83017,156.842,4.23094
10,0.438671,7968,41279,0.00227572,0.767878,3.13694,1.81588,156.842,4.1038
7,0.039213,10545,51819,0.00227572,0.764694,3.13694,1.82094,156.842,4.11365
8,0.399892,8087,41904,0.00227572,0.768466,3.13694,1.81615,156.842,4.09392
9,0.239106,8087,41977,0.00227572,0.769248,3.13694,1.81293,156.842,4.08025
10,0.400822,8087,41977,0.00227572,0.78077,3.13694,1.80178,156.842,4.02374
11,0.012166,-1,-1,-1,-1,-1,-1,-1,-1
7,0.04431,11340,56191,0.00227572,0.768117,3.13694,1.81478,156.842,4.10216
8,0.417609,8474,44229,0.00227572,0.780248,3.13694,1.79996,156.842,3.98042
9,0.2618,8474,44292,0.00227572,0.781464,3.13694,1.79616,156.842,3.9569
10,0.383333,8474,44292,0.0127536,0.793529,3.11915,1.78497,50.8267,3.89736
7,0.037765,10511,52188,0.0127536,0.78706,3.11915,1.79004,50.8267,3.93202
8,0.34199,8528,44637,0.0127536,0.792925,3.11915,1.78547,50.8267,3.89647
9,0.254884,8528,44675,0.0321565,0.793262,3.09776,1.78393,32.3481,3.88962
10,0.350461,8528,44675,0.0321565,0.799623,3.09776,1.77714,32.3481,3.86223
7,0.037899,10236,50889,0.0321565,0.794118,3.09776,1.78177,32.3481,3.89123
8,0.327636,8553,44774,0.0321565,0.798923,3.09776,1.77813,32.3481,3.86527
9,0.250463,8553,44797,0.0321565,0.798929,3.09776,1.7776,32.3481,3.86289
10,0.324878,8553,44797,0.0321565,0.802647,3.09776,1.77281,32.3481,3.84702
11,0.007674,-1,-1,-1,-1,-1,-1,-1,-1
7,0.033659,9884,49275,0.0321565,0.798454,3.03317,1.77561,27.8959,3.86789
8,0.34854,8499,44558,0.213683,0.802117,2.65896,1.77361,7.51611,3.84804
9,0.248324,8499,44564,0.213683,0.802187,2.65896,1.77323,7.51611,3.84706
10,0.30251,8499,44564,0.21587,0.804405,2.6576,1.77055,7.52327,3.83804
8,0.293649,8465,44427,0.21587,0.804301,2.6576,1.77066,7.52327,3.83885
12,0.110246,4459,16972,0.21587,0.78805,2.64278,1.79093,7.52327,3.9454
13,-1,0,-1,-1,-1,-1,-1,-1,-1
